CANDIDATE_ID,CANDIDATE_NAME,CANDIDATE_OFFICE,CANDIDATE_STATE,CANDIDATE_DISTRICT,COMMITTEE_ID,COMMITTEE_NAME,SB_IMAGE_NUM,PAYEE_NAME,PAYEE_STREET,PAYEE_CITY,PAYEE_STATE,DISBURSEMENT_DESCRIPTION,DISBURSEMENT_DATE,COMMUNICATION_DATE,PUBLIC_DISBURSEMENT_DATE,REPORTED_DISBURSEMENT_AMOUNT,NUMBER_OF_CANDIDATES,CALCULATED_CANDIDATE_SHARE
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002653","MAINSTREAM VOTERS OF WA","201612289040903875","PUBLISHER'S MAILING SERVICE","9126 E MARGINAL WAY S","SEATTLE","WA","DIRECT MAIL/POSTAGE/FEES - OPPOSE","29-OCT-16","29-OCT-16","29-OCT-16","6908","1","6908"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611189037213409","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT WV'S FUTURE","14-OCT-16","18-OCT-16","18-OCT-16","242215","1","242215"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611189037213409","RED OCTOBER PRODUCTIONS INC.","1851A MCGUCKIAN STREET","ANNAPOLIS","MD","ADVERTISING - PRODUCTION WV'S FUTURE","13-OCT-16","18-OCT-16","18-OCT-16","7866","1","7866"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611189037213412","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT NOT ANOTHER LIBERAL","14-OCT-16","18-OCT-16","18-OCT-16","74195","1","74195"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611189037213412","RED OCTOBER PRODUCTIONS INC.","1851A MCGUCKIAN STREET","ANNAPOLIS","MD","ADVERTISING - PRODUCTION NOT ANOTHER LIBERAL","13-OCT-16","18-OCT-16","18-OCT-16","336.38","1","336.38"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611189037213415","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT NOT ANOTHER LIBERAL","29-SEP-16","05-OCT-16","05-OCT-16","54000","1","54000"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611189037213415","RED OCTOBER PRODUCTIONS INC.","1851A MCGUCKIAN STREET","ANNAPOLIS","MD","ADVERTISING - PRODUCTION NOT ANOTHER LIBERAL","04-OCT-16","05-OCT-16","05-OCT-16","12316.5","1","12316.5"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611189037213436","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT IMAGINE","29-SEP-16","05-OCT-16","05-OCT-16","682000","1","682000"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611189037213436","RED OCTOBER PRODUCTIONS INC.","1851A MCGUCKIAN STREET","ANNAPOLIS","MD","ADVERTISING - PRODUCTION IMAGINE","04-OCT-16","05-OCT-16","05-OCT-16","12592.5","1","12592.5"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201610259034561093","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT WHAT'S AT RISK","21-OCT-16","25-OCT-16","25-OCT-16","943360","1","943360"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201610269034594532","RED OCTOBER PRODUCTIONS INC.","1851A MCGUCKIAN STREET","ANNAPOLIS","MD","TELEVISION ADVERTISING - PRODUCTION WHAT'S AT RISK","24-OCT-16","25-OCT-16","25-OCT-16","18617.35","1","18617.35"
